Place,District,Type,Budget,Season,Interest,Rating,Approx_Cost,Image_URL,Youtube_Link,Hotel_Budget,Hotel_Budget_Price,Hotel_Premium,Hotel_Premium_Price,Latitude,Longitude,image_url
Gateway of India,Mumbai,Historical,Medium,All,Cultural,4.7,5000,/static/images/gateway.jpg,https://www.youtube.com/embed/jhIK24fVT0o?si=QsNcv3mlHST-_M5I,Hotel Sea Lord,1500,The Taj Mahal Palace,6000,18.922,72.8347,https://source.unsplash.com/800x600/?Gateway%20of%20India%2CHistorical%2CMaharashtra
Marine Drive,Mumbai,Nature,Low,All,Relaxation,4.8,4000,/static/images/marine.jpg,https://www.youtube.com/embed/_75te-RJ85E?si=_JANtkRTNtA5IlXi,Hotel Marine Plaza,1700,Trident Nariman Point,5000,18.944,72.8227,https://source.unsplash.com/800x600/?Marine%20Drive%2CNature%2CMaharashtra
Elephanta Caves,Mumbai,Historical,Low,All,Cultural,4.5,4500,/static/images/elephant_caves.jpg,https://www.youtube.com/embed/pDJq56ZNh0Q?si=HwegFcs96HGzImHP,Hotel Apollo,1200,The Oberoi,5000,18.9633,72.9315,https://source.unsplash.com/800x600/?Elephanta%20Caves%2CHistorical%2CMaharashtra
Juhu Beach,Mumbai,Beach,Low,All,Relaxation,4.2,4000,/static/images/juhu.jpg,https://www.youtube.com/embed/tZ3oNJGHlro?si=dWF6LXg3akJjkhA1,Hotel Sea Princess,1400,JW Marriott Mumbai Juhu,4000,19.099,72.8264,https://source.unsplash.com/800x600/?Juhu%20Beach%2CBeach%2CMaharashtra
Sanjay Gandhi National Park,Mumbai,Wildlife,Low,All,Nature,4.3,5000,/static/images/sanjay_gandhi_national_park.jpg,https://www.youtube.com/embed/ffIC0Z3ScMU?si=y1IoGjULG7uOofjC,Residency Hotel,1350,The Westin Mumbai,5000,19.2147,72.9106,https://source.unsplash.com/800x600/?Sanjay%20Gandhi%20National%20Park%2CWildlife%2CMaharashtra
Haji Ali Dargah,Mumbai,Spiritual,Low,All,Spiritual,4.6,4000,/static/images/haji_ali_dargah.jpg,https://www.youtube.com/embed/Pc78xrDCa_4?si=S0IU2LSCPAjbMPA5,Hotel Kemps Corner,1500,The St. Regis Mumbai,6000,18.9827,72.8089,https://source.unsplash.com/800x600/?Haji%20Ali%20Dargah%2CSpiritual%2CMaharashtra
Siddhivinayak Temple,Mumbai,Spiritual,Low,All,Spiritual,4.8,4500,/static/images/siddhivinayak_temple.jpg,https://www.youtube.com/embed/f_1u7ou0wGs?si=4_H6zAG7C4LSK1hW,Dadar Guest House,1400,ITC Grand Central,5000,19.0166,72.8302,https://source.unsplash.com/800x600/?Siddhivinayak%20Temple%2CSpiritual%2CMaharashtra
Bandra-Worli Sea Link,Mumbai,Nature,Low,All,Relaxation,4.7,4500,/static/images/bandra_orali_sea_link.jpg,https://www.youtube.com/embed/_tjbber-8hA?si=BZhz4brve1V9guJk,Hotel Rang Sharda,1100,Taj Lands End,5500,19.0357,72.8164,https://source.unsplash.com/800x600/?Bandra-Worli%20Sea%20Link%2CNature%2CMaharashtra
CSM Vastu Sangrahalaya,Mumbai,Historical,Low,All,Cultural,4.6,4000,/static/images/csm_vastu_sangralay.jpg,https://www.youtube.com/embed/J7WkK8-Hlyw?si=OJxoPvyyaYNRwKZH,Abode Bombay,1220,The Taj Mahal Tower,4500,18.9268,72.8326,https://source.unsplash.com/800x600/?CSM%20Vastu%20Sangrahalaya%2CHistorical%2CMaharashtra
Global Vipassana Pagoda,Mumbai,Spiritual,Low,All,Spiritual,4.7,4500,/static/images/global_vipassana_pagoda.jpg,https://www.youtube.com/embed/Ehrk9vBuK-M?si=ZVq78QVWPq7fkxv8,Eskay Resorts,1240,The Resort Mumbai,5000,19.2285,72.8058,https://source.unsplash.com/800x600/?Global%20Vipassana%20Pagoda%2CSpiritual%2CMaharashtra
Mount Mary Church,Mumbai,Spiritual,Low,All,Spiritual,4.6,4000,/static/images/mount_mary_church.jpg,https://www.youtube.com/embed/9m82sjAe4Uc?si=twV9Q6vmHcWWkrvP,Executive Enclave,1250,Taj Lands End,6000,19.0466,72.8224,https://source.unsplash.com/800x600/?Mount%20Mary%20Church%2CSpiritual%2CMaharashtra
